Date	Tweet
2020-07-11 21:09:22+00:00	Dear #Trump'sters: #Covid19's spiraling out of control. Yet he tells u it's a 'democrat hoax'. It's 'no big deal'. It's being 'handled'. It's 'on the way out'. Don't need to wear masks or distance. Bc he thinks ur just a bunch of brainwashed idiots. Are u? 
2020-07-11 21:05:06+00:00	As we all work together to overcome the #COVID19 pandemic, gender parity in peacekeeping is more important than ever. We need more women in peacekeeping at all levels of operations. #WPSin2020
2020-07-11 20:09:00+00:00	Likely rare that a mother can pass #COVID19 to her fetus. 
2020-07-11 19:56:59+00:00	Sure, blame the scientists, docs, public health professionals, epidemiologists for spreading “misinformation” about the realities & challenges of #COVID19 &amp; believe politicians + reality TV stars &amp; those with no medical or PH background on whats truly happening in this country 
2020-07-11 19:17:41+00:00	#COVID19 New school clothes for Georgia's children. pic.twitter.com/SCXJu1oCCD
2020-07-11 18:24:49+00:00	Guys #COVID19 is a real deal..ask me. As a New Yorker I have seen the worst. Pls follow all safety measures to the best of your ability. Remember, it’s one life! So, safety should be utmost priority. Use masks/ hand sanitizers, wash hands with soap for &gt;20secs periodically! 
2020-07-11 18:19:39+00:00	Walt Disney World officially reopened today in Orlando, and while social distancing measures are in place, it seems far too soon for theme parks to reopen in Florida! #COVID19 
2020-07-11 18:18:17+00:00	We like to rank on Susan Collins for her equivocating on Trump, but what about Lamar Alexander? We can’t let him off the hook. How is #COVID19 going in Tennessee? https://www.npr.org/2020/01/31/801589634/sen-alexander-explains-decision-not-to-call-witnesses-in-trump-impeachment-trial
2020-07-11 17:45:40+00:00	Bertha decides to throw shoes at a retail worker because she doesn’t want to wear a mask. #COVID19 #KarensGoneWild
2020-07-11 16:55:36+00:00	I hope... expanded #COVID19 outdoor restaurant seating in New York City will increase demand for outdoor public space and electric vehicles. Let's #BuildBackBetter 
2020-07-11 16:10:09+00:00	Displaced children are especially vulnerable when crises like the #COVID19 pandemic hit. Please retweet if you agree that their safety, health and #educationcannotwait!
2020-07-11 16:00:23+00:00	Patient Benjamin Thomas, #COVID19 survivor, was in the hospital for more than 100 days, on a ventilator for 54 days, and in a coma for six weeks. He was finally released from @MountSinaiNYC last week and says prayer was instrumental in his recovery. #PatientStory
2020-07-11 15:57:16+00:00	That was a loooong time ago. #pandemic #COVID19 #COVID__19 #CoronaVirusUpdates
2020-07-11 15:26:37+00:00	There are over 133,000 #COVID19 deaths and counting, yet Donald Trump is so busy golfing and freeing criminals like Roger Stone, he forgot to care We are in desperate need of a real leader #VoteTrumpOut @realDonaldTrump @WhiteHouse @senatemajldr @GOPLeader @LindseyGrahamSC
2020-07-11 15:13:05+00:00	Be inspired to lead! Join the @UN on 14 July for our first Women #RiseForAll LIVE event. Sharing insights on how women's global, local and intergenerational leadership is outpacing the #COVID19 pandemic and beyond. https://www.un.org/en/coronavirus/women-rise-for-all
2020-07-11 14:34:56+00:00	Flattering the curve in NY #COVID19 
2020-07-11 13:43:54+00:00	Can't wait for the chapter on how Cuomo cut Medicaid during #COVID19 but wouldn't tax the wealthy
2020-07-11 10:05:00+00:00	Human rights can’t be quarantined! On Saturday's #WorldPopulationDay, see how @UNFPA is protecting human rights for millions of people affected by the #COVID19 pandemic: https://bit.ly/3eoraek #StandUp4HumanRights
2020-07-11 08:00:01+00:00	Women #RiseForAll is going LIVE with some of the most inspiring leaders taking on #COVID19 today. Join us on 14 July: https://un.org/en/coronavirus/women-rise-for-all
2020-07-11 04:20:06+00:00	#COVID19 can be transmitted in the womb, a new study has found. A baby girl in Texas—born prematurely to a mother w/ COVID—is the strongest evidence to date that intrauterine transmission of severe SARS-CoV2 can occur https://medicalxpress.com/news/2020-07-covid-transmitted-womb.html via @medical_xpress
2020-07-11 23:17:40+00:00	Maybe now all you assholes will listen? #coronavirus #COVID19 #COVIDIOTS #TrumpIsNotWell pic.twitter.com/zam2fvMBl7
2020-07-11 23:12:12+00:00	You couldn’t pay me to go to @WaltDisneyWorld right now. #COVID19
2020-07-11 22:21:18+00:00	TASK: Detect anything unusual in the following photograph. #COVID19 
2020-07-11 21:55:43+00:00	@realDonaldTrump; patron saint of #COVID19 
2020-07-11 19:01:36+00:00	Widespread #COVID19 testing is key to reopening our city safely. Get tested even if you have no symptoms. Do it for your loved ones. Do it for peace of mind. Visit https://on.nyc.gov/2AGrfMi or call @nyc311 to find the testing site nearest you. #NYCTestandTrace
2020-07-11 18:43:46+00:00	I called several clinics to find out what it would cost to get a #COVID19 test, they couldn’t tell me. I tried calling my health insurance company (that we pay a lot for), and they were closed. Welcome to America. Im not sick but this week is testing week in NYC.
2020-07-11 18:42:49+00:00	Aroldis Chapman tests positive for #COVID19
2020-07-11 18:33:52+00:00	1 family gathering became 40 #COVID19 cases Continue precaution measures! 
2020-07-11 17:19:36+00:00	A nurse expressed concern on @CNN over the shortage of #PPE, which dr's/nurses are re-using despite the risks. Good thing we're learning this at the beginning of the #Covid19 crisis so that 5 mos from now we're totally prepared. Would be a crime to go 5 mos having done nothing...
2020-07-11 17:01:08+00:00	How does that work? #stimulis #coronavirus #covid19 
2020-07-11 16:11:04+00:00	Sixty thousand years ago, modern humans and Neanderthals interbred. If you inherited one stretch of their DNA, you are at much greater risk for severe #Covid19. Here’s my story for @nytimes
2020-07-11 15:49:59+00:00	An interesting (and encouraging) article about #SchoolReopening in the age of #COVID19, based on the experiences of European and Asian nations. The photos are illuminating. https://wapo.st/303XgH7 #COVID #COVID__19 #coronavirus #school #schools
2020-07-11 14:57:45+00:00	JUST IN: Florida reported record 188 #COVID19 related deaths on Friday, according to data posted on the Florida Department of Health (DOH) website. This marks the state's highest single-day for deaths.
2020-07-11 14:05:09+00:00	The unprecedented rise in domestic violence since the onset of #COVID19 marks an urgent call for action for the private sector to leverage their existing resources and influence to keep women safe at home &amp; at work. Learn more: http://unwo.men/eeH050Av4pu #ShadowPandemic
2020-07-11 11:08:12+00:00	Beach #donkeys need assistance due to #COVID19 
2020-07-11 04:01:00+00:00	As health systems across the globe struggle to cope with the #COVID19 response, sexual and reproductive health and rights risk being sidelined. On Saturday's #WorldPopulationDay, see how @UNFPA is taking action: https://bit.ly/3248uxH
2020-07-11 02:00:00+00:00	If you're at a higher risk for #COVID19, stay home as much as possible, limit visitors, and be scrupulous about hand hygiene. See other vital advice: 
2020-07-11 01:50:20+00:00	It’s wild but we’re 5 months into #COVID19 pandemic. Thinking about being on one of the last flights out of Lahore to NYC—in Abu Dhabi, Bangladeshi migrant worker bhaiyas were telling me the airport wasn’t going to bring any more passengers thru those terminals. Time flies, y’all
2020-07-11 01:44:09+00:00	Scary stuff — #Coronavirus damages not only the lungs, but the kidneys, liver, heart, brain and nervous system, skin and gastrointestinal tract, doctors from Columbia University Irving Medical Center in NYC noted Friday in a review of reports about #COVID19 patients.
2020-07-11 01:13:56+00:00	#RIP Mark Urquiza of #Arizona, who died of #COVID19 at age 65. His daughter Kristin’s obituary for him went viral. 
2020-07-11 22:45:24+00:00	“Doctors in #Wuhan knew about this new #virus that could spread between humans; the #authorities knew but told the the world there was no threat.” A new #whistleblower expose the CCP coverup in the early stage of the #Covid19 (CCPvirus) outbreak. https://buff.ly/2ZiIc97
2020-07-11 22:07:00+00:00	From Samoa to Syria, the UN is working around the world to help the most vulnerable amid the #COVID19 pandemic. See how we're making a difference: 
2020-07-11 20:36:19+00:00	"#COVIDIOTS meet #CoronaCorruption: 1. Trump's incompetent response to #COVID19 crashes the economy 2. Trillions in ""stimulus"" fly out the door 3. GOP fundraiser/billionaire Joe Farrell receives up to $1M, throws a Hamptons party 4. No one wears masks: "
2020-07-11 19:03:01+00:00	The couple have said they couldn’t be stuck in a nicer place. https://bit.ly/3ejGLvo #Covid19
2020-07-11 18:45:22+00:00	Pfizer is set to launch a large-scale clinical trial of a promising #covid19 vaccine in July, results are expected in Sept. 
2020-07-11 18:41:57+00:00	Florida had a record 11,000+ #COVID19 cases yesterday, and yet today is the day that they chose to reopen Disney world. That's mind-blowing. 
2020-07-11 18:41:18+00:00	Calling today’s leaders! Let’s #RiseForAll with the @UN against #COVID19 ! @AminaJMohammed @SDG2030 @JointSDGFund @AridiVicky @Cynthia_Oprah @OfficialJMbugua @RabbitTheKing @KeDiaspora
2020-07-11 18:33:19+00:00	"""Mr. Stone would be put at serious medical risk in prison."" - the White House. That concern doesn't seem to apply to the health of so many others locked in federal prison during the #COVID19 pandemic. "
2020-07-11 16:03:07+00:00	Me during #COVID19 lock down 
2020-07-11 15:12:41+00:00	#Florida is the #COVID19 epicenter And today JUST TODAY 28 flights are headed from Florida to San Juan, Puerto Rico. 
2020-07-11 14:42:09+00:00	“In its response to Covid19, Taiwanese authorities emphasized transparency & strong coordination...& regularly disseminate info about the virus and its effects so that all Taiwanese residents would be kept well-informed.” Something severely lacking in the US #COVID19 response.
2020-07-11 13:25:49+00:00	"""We don't need more ventilators really. We need more oxygen access in rural areas."" Must read article by @soutikBBC @BBCIndia https://www.bbc.com/news/world-asia-india-53304858 #EveryBreathCounts #COVID19 @CHAI_health @PATHdrugdev @Stop_Pneumonia @GrahamHamish @CarinaTKing @KevinAtSave @stefanswartpet"
2020-07-11 12:12:42+00:00	Join our next ASciNA Virtual Talk Development & Application of a #COVID19 Antibody Test - Dr. Daniel Stadlbauer @DanielStadlb at @florian_krammer Lab @IcahnMountSinai Time: 12:00pm EST, July 16 Join here: http://shorturl.at/xEGY5 Please RVSP by July 15 to events@ascina.at
2020-07-11 11:05:02+00:00	Today’s belly laugh... #COVID19 #Zoom #OmniaDictaFortioraSiDictaLatina
2020-07-11 07:02:00+00:00	Women & girls are among those most affected by the pandemic, which is increasing gender-based violence & threatening sexual & reproductive health. Here are 6 ways @UNOCHA is focusing on the unique needs of women &amp; girls in their #COVID19 response. https://unocha.exposure.co/six-ways-humanitarians-are-helping-women-and-girls-in-the-covid19-pandemic
2020-07-11 04:32:57+00:00	this is how we should in person vote in November #coronavirus #COVID19 #vote
2020-07-11 02:30:23+00:00	Speaker Pelosi:Trump resists science & governance & that is what will get us out of #COVID19 The #HeroesAct bill would bring IMMEDIATE relief to state &amp; local municipalities. BUT Leader McConnell will NOT bring it to the floor for a vote!
2020-07-11 00:57:22+00:00	I'm assuming that: a) Susan Collins is Concerned now b) he is no longer running on a Law & Order platform c) there is still no federal plan to deal with #COVID19 with #TrumpDeathToll132K and rising
2020-07-11 00:36:39+00:00	.@TWULocal100 and Subway Surface Supervisors Association blast @MTA consultant's report that praised how agency handling of #COVID19 that killed 132 workers. @NYCOSH @TwuSamuelsen
2020-07-11 21:42:59+00:00	Democratic strategist @atima_omara joins me to discuss how the US has shattered the daily #Covid19 record with over 70,000 cases. 
2020-07-11 20:29:53+00:00	Is there anyone that wears a mask, tested positive for #COVID19 ? #coronavirus #COVID__19 #SaturdayThoughts #SaturdayMorning #SaturdayMotivation #WearAMask #WeHaveAProblem #WearADamnMask
2020-07-11 19:09:00+00:00	#COVID19 will push over 71 million people into extreme poverty in 2020, with unemployment, rising prices &amp; lack of social protection leaving those previously secure at additional risk. More from @UNDESA's #SDGreport: https://unstats.un.org/sdgs
2020-07-11 18:16:53+00:00	The CDC now estimates 40% of people infected with #COVID19 don't have any symptoms. This number is up from the 35% the agency estimated on May 20.
2020-07-11 18:11:31+00:00	#Florida county commissioner who voted against masks In hospital with #COVID19 #wearamask #wearadamnfacemask
2020-07-11 18:07:23+00:00	The Trump @WhiteHouse won't stop until we're all dead #VoteTrumpOut before even more people are lost to #COVID19 @realdonaldtrump @PeterNavarro45 @RudyGiuliani @PressSec @KellyannePolls @GOP
2020-07-11 17:43:44+00:00	After hearing remarks from the Governor of Florida & five other officials, the Governor suddenly give questions to one of the panels rather than taking questions from reporters as w/ other states give questions from the press following opening remarks. That's not right! #COVID19
2020-07-11 17:32:33+00:00	Propaganda works. This is the fruit of years of exposure to sophisticated propaganda machines run by Trump & his right-wing allies. Read @mckaycoppins @andrewmarantz and others on what prepared the terrain for #COVID19 denial. 
2020-07-11 16:17:21+00:00	Waiting to ride the Corona Coaster at #Disney. #CoronavirusPandemic #CoronaVirusUpdate #Coronapocalypse #Coronavirus #TrumpVirus #COVIDー19 #Covidiots #COVID19
2020-07-11 14:50:12+00:00	Dr. Benjamin Golas, System Chief of the Division of Surgical Oncology, explains that it is safe for cancer patients to come into Mount Sinai for in-person treatment during the ongoing #COVID19 pandemic. Visit to learn more about @MSHSSurgery's services: https://bit.ly/2Vo8fJL
2020-07-11 14:27:05+00:00	Give that child a A+!! WASH YOUR HANDS, KEEP YOUR DISTANCE AND WEAR YOUR MASK!!! #TeamDL #washyourhands #keepyourdistance #wearyourmask #coronavirus #covid19 https://www.instagram.com/p/CCgU8y_nngg/?igshid=1o8t3nus4gbpr
2020-07-11 14:15:04+00:00	Is digital contact tracing safe from prying eyes? One Hastings Center Fellow has a long memory of contact tracing, only not for disease, but for political subversion. #Covid19 #virus #coronavirus #MaskUp Read
2020-07-11 13:45:13+00:00	#Boston extends #eviction moratorium to the end of 2020. “These are extraordinary times, &amp; right now, we all need to come together to ensure that our city’s most vulnerable residents are able to continue to live &amp; work in the city they call home,”said Mayor Martin Walsh. #covid19
2020-07-11 13:36:00+00:00	Mary O'Hara, God's Love RDN, has produced a helpful series of tips for anyone curious about maximizing nutrition during the COVID-19 pandemic. Check it out for shopping & meal prep pointers! #COVID19 #Healthyeating #shopsmart
2020-07-11 13:18:49+00:00	Li-Meng Yan told Fox News that she believes #China knew about the #coronavirus well before it claimed it did. She says her supervisors also ignored research she was doing that she believes could have saved lives. #Covid19 
2020-07-11 13:15:17+00:00	This #WorldPopulationDay @unfpa_eval recommits to provide evidence &amp; learning to safeguard hard fought gains around #GenderEquality, #SRHR during #COVID19, to maintain the momentum towards achieving the #SDGs by 2030. Learn more: http://unfpa.org/evaluation #Eval4Action #HLPF
2020-07-11 12:20:01+00:00	Breakthrough in research! COVID-19 spurs wave of innovative diagnostics! #COVID19 #coronavirus #diagnostics https://go.nature.com/3fk9Gkr
2020-07-11 12:10:55+00:00	I strongly suggest that you follow @Cleavon_MD. A former EM resident @nyphospital &amp; now an attending in AZ, he has painstakingly documented &amp; provided a poignant view of the people especially the young men &amp; women that have died due to #COVID19. We need a national plan!
2020-07-11 11:04:34+00:00	If supermarket employees, lawyers, police, doctors, nurses, retail workers, restaurant staff, public transportation workers, etc. can return to work now, teachers can too in the fall. A teacher’s shift is often shorter and they come in contact with less “random” people. #COVID19
2020-07-11 00:56:23+00:00	There have been many cover-ups in Trump’s first term, but his deadly incompetence when it comes to #COVID19 can’t be obscured. 67% disapproval in new ABC/Ipsos poll. 
2020-07-11 18:50:58+00:00	What will the new normal look like for dentist offices during #covid19? https://trib.al/z1fiCmE
2020-07-11 18:19:32+00:00	Because it’s insufficient vacuuming that leads to a surge in #COVID19 cases.
2020-07-11 18:19:28+00:00	Indiana just reported over 800 new #COVID19 cases - the most since early May. Infection rates continue to climb. In other news, Marion County, Indiana is pressing ahead and opening its county fair as scheduled tonight. 
2020-07-11 18:16:48+00:00	Tell the U.S. Senate to pass critical protections for nurses. #ProtectNurses during #COVID19. Sign @NationalNurses petition now:
2020-07-11 18:12:14+00:00	Sheriff Jones ain’t scared of no covid!!! #COVID19 
2020-07-11 18:09:14+00:00	Finally Covid Found a much Bigger Opponent to fight .. and we all know Covid will loose and hope It goes away soon #LoveAmitabhBachchan . Prayers &amp; Wishes For you #Covid19
2020-07-11 18:03:24+00:00	St. Johns County, Florida commissioner hospitalized with COVID-19. He was one of three commissioners who voted against a county-wide mask mandate last week. #COVID19 #COVID19Pandemic
2020-07-11 18:00:29+00:00	For 75M children/youth impacted by armed conflicts, forced displacement & natural disasters, #Covid19 pandemic exacerbates risks of abuse, neglect, exploitation &amp; violence. Please RT if you agree: #EducationCannotWait for any child! @UNGEI@EduCannotWait @YasmineSherif1 @UN pic.twitter.com/EB99FupQGA
2020-07-11 17:58:53+00:00	Stop testing on Animals!! #animaltesting #COVID19 #savetheanimals https://amp.dailycaller.com/2020/07/06/justin-goodman-white-coat-waste-project-drug-testing-dogs-coronavirus-cure?__twitter_impression=true
2020-07-11 17:48:21+00:00	Wishing you a speedy recovery sir #COVID19 
2020-07-11 17:44:48+00:00	2/The number one concern of those living in America and American's living abroad right now is #COVID19. Dr. Johnson is looking at this election pre-COVID, pre-BLM2020 protests. This election is different. The majority of us are worried about dying. 
2020-07-11 16:34:21+00:00	"IMPORTANT UPDATE: FL state health officials just issued a correction on #COVID19 death numbers, saying, ""The previous report calculated the change in the deaths over the last two days (93 on 7/10 and 95 on 7/11), instead of the change from yesterday to today."" It should be 95. "
2020-07-11 15:56:30+00:00	In other words, you would rather risk death from #Covid19 then #VoteByMail. BTW, your example is all wrong. Every ballot is bar coded with your ID. One vote per person. Vote, sign, &amp; mail. It's that simple. This way, #GOP can't suppress the vote.
2020-07-11 14:45:13+00:00	Meeting up with friends or family this weekend? Help slow the spread of #COVID19 by: Sticking to a pandemic “social bubble.” Organizing gatherings outside. Not sharing food or beverages. More tips: https://on.nyc.gov/3fTQha1
2020-07-11 13:22:16+00:00	Join @antonioguterres @DrTedros @unicefchief &amp; #youth from around the world for Coping with #COVID19 Webinar and find out how to take care of your mental health. 
2020-07-11 13:06:00+00:00	Who else in NYC is getting PTSD hearing about what our MDs and RNs around the country are going through right now in the #COVID19 battle? Please stay safe. 
2020-07-11 13:00:28+00:00	Over a billion learners are still out of school as a result of #Covid19 pandemic. Together with our partners, @EduCannotWait is working to #BuildBackBetter so children/youth caught in emergencies have access to the safety, hope &amp; protection of education. @YasmineSherif1 @UNGEI
2020-07-11 11:10:52+00:00	How anyone should feel going to a restaurant right now. #COVID19 
2020-07-11 01:18:36+00:00	Another record: U.S. sees highest single day of new #COVID19 cases, with at least 63,900 cases reported Friday, according to Johns Hopkins University data.
2020-07-11 00:15:48+00:00	Horrific. Today the US recorded 71,000 new #COVID19 cases, shattering its previous record by 10,000! 
2020-07-11 17:44:09+00:00	The same people screaming that it’s their “right” to not wear a #mask are the same people screaming about taking away the right of women to choose what to do with their own bodies. #COVID19
2020-07-10 23:40:43+00:00	Houston’s emergency rooms are now having to turn away patients. There is nowhere to put them. This is bad, folks. #COVID19 
2020-07-10 21:56:08+00:00	Couldn’t be clearer. #COVID19 
2020-07-10 21:44:39+00:00	Data matters! The data published on @UNFPA’s #COVID19 Population Vulnerability Dashboard is extensive and accessible to all. Its information on population risk factors can help governments and others prepare and respond to the pandemic and save lives. 
2020-07-10 19:11:04+00:00	Drug overdoses have risen nationally amid the #COVID19 pandemic. Joanne Manzo joins us to discuss the loss of her son Steven, who was 8 years sober, to overdose this past April. Listen to her to her story: 
2020-07-10 18:41:32+00:00	Gilead Sciences says its antiviral drug, remdesivir, reduces risk of death in severely sick #COVID19 patients. New tests showed the intravenous medication reduced the risk of death for severely sick people by 62% https://www.cnbc.com/2020/07/10/gilead-says-remdesivir-coronavirus-treatment-reduces-risk-of-death.html
