Rosenberg, A.
Chartoff-Winkler
Wise, R.
Schwartz, M.
Arthur, R.
Dehaven, C.
Fryer-Cresson
Montagne, E.
Edwards, B.
Lewis, E.
Hibler, W.
David, S.
Jacobs, A.
Preminger, O.
Seltzer, W.
Conrad, W.
Dorfman, R.
Towers, I.
Anderson, B.
Miller, R.
Walsh, B.
Turman-Foster
Radnitz, R.
Lyles, A.C.
Aldrich, R.
Arkoff, S.
Katzman, S.
Pressman, E.
Corman, R.
Wallis, H.
Jewison, N.
Allen, I.
Mirisch, W.
Weintraub-Heller
Frankovich, M.
Kastner, E.
Delaurentis, D.
Lang, J.
Relyea, R.
Levy-Gardner
Daley, R.
Ransohoff, M.
Howard, S.
Wolper, D.
Lawrence, D.
Beckerman, S.
Castle, W. 
Hunter, R.
Ruddy, A.
Zanuck-Brown
Pakula, A.
Foreman, J.
Koch, H.
Stark, R.
Brooks, R.
Kramer, S.
Joffe, C.
Levine, J.E.
Briskin, M.
Solomon, J.
Meyer, R.
Landers, H.
